a2,a1,txt,t,id,fs,n,ts,v,coordinate_x,coordinate_y
1200AGL,SFC,"NOTAM UAS Operating Area BDR_01/099 
DEFINED AS  2NM RADIUS OF 430205N0753903W (12.2NM NNW VGC)  
SFC-2620FT (SFC-1200FT AGL)  DLY 1200-0100 202401131200-202501140100.",drotam,560792890,1705147200,BDR_01/099,1736816400,1/13 12:00Z to 1/14 01:00Z,43.03472222222222,-75.65083333333334
400AGL,SFC,"NOTAM UAS Operating Area BDR 01/090 
DEFINED AS 2NM RADIUS OF 420402.70N0714159.90W (8.8NM W 1B6) 
SFC-1110FT (SFC-400FT AGL) DLY 0000-2359 2401120000-2412312359.",drotam,560793100,1705017600,BDR 01/090,1735689540,1/12 00:00Z to 12/31 23:59Z,,
150AGL,SFC,"NOTAM UAS Operating Area CAE_12/053 
DEFINED AS  2NM RADIUS OF 335642N0810731W (0.45NM NE CAE)  
SFC-530FT (SFC-150FT AGL)  202412161500-202412161600.",drotam,560792969,1734361200,CAE_12/053,1734364800,12/16 15:00Z to 12/16 16:00Z,33.94499999999999,-81.12527777777777
400AGL,SFC,"NOTAM UAS Operating Area FTW 12/408 
DEFINED AS 2NM RADIUS OF 313458.10N1022009.50W (10.3NM N E13) 
SFC-3330FT (SFC-400FT AGL) 2412161430-2412170000.",drotam,560793212,1734359400,FTW 12/408,1734393600,12/16 14:30Z to 12/17 00:00Z,,
1000AGL,SFC,"NOTAM UAS Operating Area DCU_12/008 
DEFINED AS  2NM RADIUS OF DCU308010  
SFC-1720FT (SFC-1000FT AGL)  DLY 1400-0300 202412161400-202412180300.",drotam,560793068,1734357600,DCU_12/008,1734490800,12/16 14:00Z to 12/18 03:00Z,,
400AGL,SFC,"NOTAM UAS Operating Area CXO 12/343 
DEFINED AS 2NM RADIUS OF 262456.20N0990127.50W (9.6NM W 67R) 
SFC-780FT (SFC-400FT AGL) 2412161335-2412162100.",drotam,560793105,1734356100,CXO 12/343,1734382800,12/16 13:35Z to 12/16 21:00Z,,
400AGL,SFC,"NOTAM UAS Operating Area ABQ 12/159 
DEFINED AS 2NM RADIUS OF 301648.90N1022629.80W (18.4NM NW 6R6) 
SFC-3930FT (SFC-400FT AGL) 2412161300-2412162300.",drotam,560792842,1734354000,ABQ 12/159,1734390000,12/16 13:00Z to 12/16 23:00Z,,
200AGL,SFC,"NOTAM UAS Operating Area HOB_12/014 
DEFINED AS  2NM RADIUS OF HOB064031  
SFC-3640FT (SFC-200FT AGL)  202412142100-202412162100.",drotam,560793137,1734210000,HOB_12/014,1734382800,12/14 21:00Z to 12/16 21:00Z,,
200AGL,SFC,"NOTAM UAS Operating Area CNM_12/017 
DEFINED AS  2NM RADIUS OF CNM100015  
SFC-3420FT (SFC-200FT AGL)  202412142100-202412162100.",drotam,560793084,1734210000,CNM_12/017,1734382800,12/14 21:00Z to 12/16 21:00Z,,
225AGL,SFC,"NOTAM UAS Operating Area CXO_12/280 
DEFINED AS  2NM RADIUS OF 263129N0990036W (9.7NM NW 67R)  
SFC-680FT (SFC-225FT AGL)  202412131443-202501132359.",drotam,560792829,1734100980,CXO_12/280,1736812740,12/13 14:43Z to 1/13 23:59Z,26.52472222222222,-99.01
400AGL,SFC,"NOTAM UAS Operating Area ANB_12/069 
DEFINED AS  2NM RADIUS OF 344416.15N0863552.13W (6NM W 3M5)  
SFC-1440FT (SFC-400FT AGL)  DLY 1800-0600 202412091800-202512050600.",drotam,560793091,1733767200,ANB_12/069,1764914400,12/9 18:00Z to 12/5 06:00Z,,
400AGL,SFC,"NOTAM UAS Operating Area CCR 12/005 
DEFINED AS 2NM RADIUS OF 380312.10N1221404.90W (9.3NM WNW CCR) 
SFC-1220FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2512052359.",drotam,560793250,1733443200,CCR 12/005,1764979140,12/6 00:00Z to 12/5 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area CCR 12/007 
DEFINED AS 2NM RADIUS OF 375957.50N1214659.40W (12.2NM S O88) 
SFC-820FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2512052359.",drotam,560793128,1733443200,CCR 12/007,1764979140,12/6 00:00Z to 12/5 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area RIU 12/033 
DEFINED AS 2NM RADIUS OF 382711.70N1202840.30W (15.6NM ENE JAQ) 
SFC-4730FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2512052359.",drotam,560793001,1733443200,RIU 12/033,1764979140,12/6 00:00Z to 12/5 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area APC 12/004 
DEFINED AS 2NM RADIUS OF 382959.40N1222733.10W (4.9NM S 2O3) 
SFC-2020FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2512052359.",drotam,560793096,1733443200,APC 12/004,1764979140,12/6 00:00Z to 12/5 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area OAK 12/042 
DEFINED AS 2NM RADIUS OF 365432.20N1190515.30W (22.6NM NE O32) 
SFC-7660FT (SFC-400FT AGL) DLY 0000-2359 2412060000-2512052359.",drotam,560792870,1733443200,OAK 12/042,1764979140,12/6 00:00Z to 12/5 23:59Z,,
300AGL,SFC,"NOTAM UAS Operating Area RNO_12/018 
DEFINED AS  2NM RADIUS OF 365944N1164516W (7.6NM NE BTY)  
SFC-5300FT (SFC-300FT AGL)  DLY 1500-2300 202412051500-202412202300.",drotam,560793122,1733410800,RNO_12/018,1734735600,12/5 15:00Z to 12/20 23:00Z,36.995555555555555,-116.75444444444445
3500,SFC,"NOTAM UAS Operating Area BFL_12/001 
DEFINED AS  2NM RADIUS OF 352556N1192910W (5NM N L62)  
SFC-3500FT (SFC-3250FT AGL) DLY 1400-0200 202412031400-202503310200.",drotam,560792845,1733234400,BFL_12/001,1743386400,12/3 14:00Z to 3/31 02:00Z,35.43222222222222,-119.48611111111111
225AGL,SFC,"NOTAM UAS Operating Area CRP_11/012 
DEFINED AS  2.15NM RADIUS OF 280013N0972327W (8.7NM ESE T69)  
SFC-280FT (SFC-225FT AGL)  202411221430-202412222359.",drotam,560792880,1732285800,CRP_11/012,1734911940,11/22 14:30Z to 12/22 23:59Z,28.003611111111113,-97.39083333333333
1500,SFC,"NOTAM UAS Operating Area MCE_11/001 
DEFINED AS  2NM RADIUS OF 372129N1201714W (11.8NM NE MCE)  
SFC-1500FT (SFC-1270FT AGL) MON-FRI 1500-0600 202411041500-202503090600.",drotam,560792912,1730732400,MCE_11/001,1741500000,11/4 15:00Z to 3/9 06:00Z,37.35805555555556,-120.28722222222223
1500,SFC,"NOTAM UAS Operating Area SAC_11/003 
DEFINED AS  2NM RADIUS OF 382537N1214332W (7.7NM SE EDU)  
SFC-1500FT (SFC-1490FT AGL) MON-FRI 1500-0600 202411041500-202503090600.",drotam,560793093,1730732400,SAC_11/003,1741500000,11/4 15:00Z to 3/9 06:00Z,38.426944444444445,-121.72555555555556
1500,SFC,"NOTAM UAS Operating Area OAK_11/038 
DEFINED AS  2NM RADIUS OF 375228N1213326W (4.2NM NE C83)  
SFC-1500FT (SFC-1510FT AGL) 202411041500-202503090600.",drotam,560793190,1730732400,OAK_11/038,1741500000,11/4 15:00Z to 3/9 06:00Z,37.87444444444444,-121.55722222222222
200AGL,SFC,"NOTAM UAS Operating Area SJT_10/139 
DEFINED AS  2NM RADIUS OF 282707N0975856W (9.5NM NE 8T6)  
SFC-630FT (SFC-200FT AGL)  202410101944-202504100100.",drotam,560793241,1728589440,SJT_10/139,1744246800,10/10 19:44Z to 4/10 01:00Z,28.451944444444443,-97.98222222222222
400AGL,SFC,"NOTAM UAS Operating Area PBI_09/120 
DEFINED AS  2NM RADIUS OF 264030N0801314W (5.3NM W PBI)  
SFC-460FT (SFC-400FT AGL)  DLY 1315-2359 202409251315-202503252359.",drotam,560793027,1727270100,PBI_09/120,1742947140,9/25 13:15Z to 3/25 23:59Z,26.675,-80.22055555555556
400AGL,SFC,"NOTAM UAS Operating Area PBI_09/119 
DEFINED AS  2NM RADIUS OF 264036N0801751W (10.2NM W PBI)  
SFC-440FT (SFC-400FT AGL)  202409251306-202503252343.",drotam,560792982,1727269560,PBI_09/119,1742946180,9/25 13:06Z to 3/25 23:43Z,26.67666666666667,-80.2975
400AGL,SFC,"NOTAM UAS Operating Area GSO_09/050 
DEFINED AS  2NM RADIUS OF 360205N0802256W (9.2NM SW INT)  
SFC-1290FT (SFC-400FT AGL)  202409181406-202412312359.",drotam,560793055,1726668360,GSO_09/050,1735689540,9/18 14:06Z to 12/31 23:59Z,36.03472222222222,-80.38222222222221
400AGL,SFC,"NOTAM UAS Operating Area DCA_09/268 
DEFINED AS  2NM RADIUS OF 353208N0781706W (6NM NE JNX)  
SFC-610FT (SFC-400FT AGL)  202409092056-202502282359.",drotam,560793041,1725915360,DCA_09/268,1740787140,9/9 20:56Z to 2/28 23:59Z,35.535555555555554,-78.285
400AGL,SFC,"NOTAM UAS Operating Area GSO_09/029 
DEFINED AS  2NM RADIUS OF 360441N0801420W (4NM SW INT)  
SFC-1380FT (SFC-400FT AGL)  202409091554-202412310400.",drotam,560792953,1725897240,GSO_09/029,1735617600,9/9 15:54Z to 12/31 04:00Z,36.07805555555556,-80.2388888888889
400AGL,SFC,"NOTAM UAS Operating Area MIA_08/126 
DEFINED AS  2NM RADIUS OF 272050N0801502W (9NM NE SUA)  
SFC-440FT (SFC-400FT AGL)  DLY SR-SS 202408081049-202503092326.",drotam,560793148,1723114140,MIA_08/126,1741562760,8/8 10:49Z to 3/9 23:26Z,27.34722222222222,-80.25055555555555
400AGL,SFC,"NOTAM UAS Operating Area SMO_08/002 
DEFINED AS  2NM RADIUS OF 340447N1182419W (3.8NM NE SMO)  
SFC-1920FT (SFC-400FT AGL)  202408011700-202509010500.",drotam,560793174,1722531600,SMO_08/002,1756702800,8/1 17:00Z to 9/1 05:00Z,34.07972222222222,-118.40527777777778
400AGL,SFC,"NOTAM UAS Operating Area RNO_07/042 
DEFINED AS  2NM RADIUS OF 393210N1192634W (8.9NM W N58)  
SFC-6480FT (SFC-400FT AGL)  202407091830-202501101830.",drotam,560793255,1720549800,RNO_07/042,1736533800,7/9 18:30Z to 1/10 18:30Z,39.53611111111111,-119.44277777777778
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/308 
DEFINED AS  2NM RADIUS OF 325554N0964150W (1.7NM N T57)  
SFC-1070FT (SFC-400FT AGL)  202407091549-202507092359.",drotam,560792956,1720540140,FTW_07/308,1752105540,7/9 15:49Z to 7/9 23:59Z,32.931666666666665,-96.69722222222222
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/307 
DEFINED AS  2NM RADIUS OF 325142N0963906W (3NM SE T57)  
SFC-1020FT (SFC-400FT AGL)  202407091547-202507092359.",drotam,560793011,1720540020,FTW_07/307,1752105540,7/9 15:47Z to 7/9 23:59Z,32.861666666666665,-96.65166666666667
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/305 
DEFINED AS  2NM RADIUS OF 325009N0964037W (3.5NM SE T57)  
SFC-1010FT (SFC-400FT AGL)  202407091546-202507092359.",drotam,560792896,1720539960,FTW_07/305,1752105540,7/9 15:46Z to 7/9 23:59Z,32.83583333333333,-96.67694444444444
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/306 
DEFINED AS  2NM RADIUS OF 325153N0963622W (4.7NM SE T57)  
SFC-980FT (SFC-400FT AGL)  202407091546-202507092359.",drotam,560793287,1720539960,FTW_07/306,1752105540,7/9 15:46Z to 7/9 23:59Z,32.86472222222223,-96.6061111111111
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/304 
DEFINED AS  2NM RADIUS OF 324534N0964100W (6.2NM SE 49T)  
SFC-990FT (SFC-400FT AGL)  202407091545-202507092359.",drotam,560793042,1720539900,FTW_07/304,1752105540,7/9 15:45Z to 7/9 23:59Z,32.75944444444445,-96.68333333333334
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/302 
DEFINED AS  2NM RADIUS OF 330223N0964356W (6.2NM E F69)  
SFC-1170FT (SFC-400FT AGL)  202407091544-202507092359.",drotam,560792887,1720539840,FTW_07/302,1752105540,7/9 15:44Z to 7/9 23:59Z,33.03972222222222,-96.73222222222222
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/303 
DEFINED AS  2NM RADIUS OF 330046N0963658W (9.4NM NW F46)  
SFC-1030FT (SFC-400FT AGL)  202407091544-202507092359.",drotam,560793072,1720539840,FTW_07/303,1752105540,7/9 15:44Z to 7/9 23:59Z,33.01277777777778,-96.61611111111111
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/301 
DEFINED AS  2NM RADIUS OF 325027N0963550W (5.8NM NW HQZ)  
SFC-970FT (SFC-400FT AGL)  202407091543-202507092359.",drotam,560793210,1720539780,FTW_07/301,1752105540,7/9 15:43Z to 7/9 23:59Z,32.840833333333336,-96.59722222222221
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/300 
DEFINED AS  2NM RADIUS OF 325438N0963437W (6.8NM WSW F46)  
SFC-970FT (SFC-400FT AGL)  202407091542-202507092359.",drotam,560793271,1720539720,FTW_07/300,1752105540,7/9 15:42Z to 7/9 23:59Z,32.910555555555554,-96.57694444444444
400AGL,SFC,"NOTAM UAS Operating Area FTW_07/299 
DEFINED AS  2NM RADIUS OF 324844N0963635W (4.8NM NW HQZ)  
SFC-970FT (SFC-400FT AGL)  202407091541-202507092359.",drotam,560792986,1720539660,FTW_07/299,1752105540,7/9 15:41Z to 7/9 23:59Z,32.81222222222222,-96.60972222222222
400AGL,SFC,"NOTAM UAS Operating Area PBI_06/085 
DEFINED AS  2NM RADIUS OF 264715N0800654W (6NM N PBI)  
SFC-460FT (SFC-400FT AGL)  DLY SR-SS 202406211028-202412212233.",drotam,560793188,1718965680,PBI_06/085,1734820380,6/21 10:28Z to 12/21 22:33Z,26.7875,-80.115
6000,SFC,"NOTAM UAS Operating Area DUG_06/001 
DEFINED AS  2NM RADIUS OF 312804N1093530W (1NM E DUG)  
SFC-6000FT (SFC-1990FT AGL) DLY 1236-2359 202406141236-202412312359.",drotam,560793248,1718368560,DUG_06/001,1735689540,6/14 12:36Z to 12/31 23:59Z,31.467777777777776,-109.59166666666667
700AGL,SFC,"NOTAM UAS Operating Area OAK_05/290 
DEFINED AS  2NM RADIUS OF 372233N1222351W (10NM SE HAF)  
SFC-1790FT (SFC-700FT AGL)  DLY 1400-0800 202405251400-202504170800.",drotam,560793292,1716645600,OAK_05/290,1744876800,5/25 14:00Z to 4/17 08:00Z,37.37583333333333,-122.39750000000001
200AGL,SFC,"NOTAM UAS Operating Area BWI 05/030 
DEFINED AS 2NM RADIUS OF 391358.50N0763045.10W (4.1NM WSW W48) 
SFC-290FT (SFC-200FT AGL) DLY SR-SS 2405061001-2505030000.",drotam,560792882,1714989660,BWI 05/030,1746230400,5/6 10:01Z to 5/3 00:00Z,,
200AGL,SFC,"NOTAM UAS Operating Area DCA 05/084 
DEFINED AS 2NM RADIUS OF 391610.10N0763709.20W (6.1NM NNE BWI) 
SFC-390FT (SFC-200FT AGL) DLY SR-SS 2405061001-2505030000.",drotam,560793117,1714989660,DCA 05/084,1746230400,5/6 10:01Z to 5/3 00:00Z,,
220AGL,SFC,"NOTAM UAS Operating Area SRQ_05/003 
DEFINED AS  2.0NM RADIUS OF 272657N0822619W (6.9NM E SRQ)  
SFC-350FT (SFC-220FT AGL)  DLY 1200-2359 202405021200-202512312359.",drotam,560793239,1714651200,SRQ_05/003,1767225540,5/2 12:00Z to 12/31 23:59Z,27.449166666666667,-82.43861111111111
400AGL,SFC,"NOTAM UAS Operating Area CXO_04/232 
DEFINED AS  2NM RADIUS OF 303143N0914457W (17.7NM SW HZR)  
SFC-470FT (SFC-400FT AGL)  202404091530-202504092359.",drotam,560793037,1712676600,CXO_04/232,1744243140,4/9 15:30Z to 4/9 23:59Z,30.52861111111111,-91.74916666666667
400AGL,SFC,"NOTAM UAS Operating Area RDU_04/051 
DEFINED AS  2NM RADIUS OF 350036N0791024W (1.7NM SSE 5W4)  
SFC-780FT (SFC-400FT AGL)  DLY 1200-0300 202404041200-202501020300.",drotam,560792861,1712232000,RDU_04/051,1735786800,4/4 12:00Z to 1/2 03:00Z,35.01,-79.17333333333333
400AGL,SFC,"NOTAM UAS Operating Area FTW_03/525 
DEFINED AS  2NM RADIUS OF 325551N0964151W (1.6NM N T57)  
SFC-1070FT (SFC-400FT AGL)  202403181844-202503181835.",drotam,560792864,1710787440,FTW_03/525,1742322900,3/18 18:44Z to 3/18 18:35Z,32.93083333333333,-96.6975
400AGL,SFC,"NOTAM UAS Operating Area JBR_03/161 
DEFINED AS  2NM RADIUS OF 361747.17N0941110.95W (3.8NM SSE VBT)  
SFC-1780FT (SFC-400FT AGL)  202403151445-202503152359.",drotam,560793187,1710513900,JBR_03/161,1742083140,3/15 14:45Z to 3/15 23:59Z,,
175AGL,SFC,"NOTAM UAS Operating Area VBT_03/006 
DEFINED AS  2NM RADIUS OF 362208N0941328W (.7NM NW VBT)  
SFC-1510FT (SFC-175FT AGL)  202403151442-202503152359.",drotam,560793205,1710513720,VBT_03/006,1742083140,3/15 14:42Z to 3/15 23:59Z,36.36888888888889,-94.22444444444444
400AGL,SFC,"NOTAM UAS Operating Area HHR_02/081 
DEFINED AS  340656N1180529W (2.5NM W EMT) TO 340633N1180957W (5.5NM W EMT) TO   340333N1181008W (7.5NM SW EMT) TO 340410N1180526W (3NM SW EMT) TO POINT OF ORIGIN  
SFC-1320FT (SFC-400FT AGL)  202402170600-202502172359.",drotam,560793157,1708149600,HHR_02/081,1739836740,2/17 06:00Z to 2/17 23:59Z,34.11555555555556,-118.09138888888889
400AGL,SFC,"NOTAM UAS Operating Area PBI 12/074 
DEFINED AS 2NM RADIUS OF 263628.30N0801322.60W (7.5NM WNW LNA) 
SFC-420FT (SFC-400FT AGL) DLY 0000-2359 2312200000-2412182359.",drotam,560793193,1703030400,PBI 12/074,1734566340,12/20 00:00Z to 12/18 23:59Z,,
400AGL,SFC,"NOTAM UAS Operating Area RDU_04/071 
DEFINED AS  2NM RADIUS OF LIB018018.4 (5.5NM NW BUY)  
SFC-400FT AGL 1804061200-3801030000.",drotam,560792989,1523016000,RDU_04/071,2146089600,4/6 12:00Z to 1/3 00:00Z,,
400AGL,SFC,"NOTAM UAS Operating Area DEN 12/222 
DEFINED AS 1NM EITHER SIDE OF A LINE FM 435000N1034600W TO 434600N1034600W 
SFC-7470FT (SFC-400FT AGL) MON-FRI 1500-0300 2412161500-2412210300.",drotam,560793280,1734361200,DEN 12/222,1734750000,12/16 15:00Z to 12/21 03:00Z,43.833333333333336,-103.76666666666667
400AGL,SFC,"NOTAM UAS Operating Area BRO 11/117 
DEFINED AS 255315N0972831W TO 255338N0972749W TO 255239N0972655W TO 255233N0972618W TO 255208N0972501W TO 255150N0972235W TO 255319N0972248W TO 255508N0972252W TO 255611N0972146W TO 255513N0972121W TO 255420N0972229W TO 255210N0972132W TO 255108N0972217W TO 255036N0972317W TO 255101N0972501W TO POINT OF ORIGIN 
SFC-450FT (SFC-400FT AGL) DLY 0000-2359 2412010000-2412312359.",drotam,560793182,1733011200,BRO 11/117,1735689540,12/1 00:00Z to 12/31 23:59Z,25.8875,-97.47527777777778
150AGL,SFC,"NOTAM UAS Operating Area PBI_11/013 
DEFINED AS  264226N0800738W (1.4NM NW PBI) TO 264231N0801048W (3.8NM NW PBI) TO 263905N0801105W (5NM SW PBI) TO 263853N0800744W (3.2NM SW PBI) TO POINT OF ORIGIN  
SFC-220FT (SFC-150FT AGL)  DLY SR-SS 202411051133-202505042355.",drotam,560793120,1730806380,PBI_11/013,1746402900,11/5 11:33Z to 5/4 23:55Z,26.70722222222222,-80.12722222222222
400AGL,SFC,"NOTAM UAS Operating Area RAL_11/007 
DEFINED AS  332721N1173417W (16.6NM NW L18) TO 332926N1173041W (14.2 NM NW L18) TO 333116N1173302W (17.6NM NW L18) TO 333049N1173449W (17.7NM NW L18) TO 332835N1173207W (15.4NM NW L18) TO POINT OF ORIGIN  
SFC-400FT AGL  DLY SR-SS 202411031300-202502040130.",drotam,560793253,1730638800,RAL_11/007,1738632600,11/3 13:00Z to 2/4 01:30Z,33.45583333333334,-117.57138888888889
30AGL,SFC,"NOTAM UAS Operating Area SNS_06/003 
DEFINED AS  1.8NM RADIUS OF 362630.60N1212303.36W (17.4NM SE SNS)  
SFC-640FT (SFC-30FT AGL)  WED THU FRI MON TUE 1200-2359 202406051200-202412202359.",drotam,560792974,1717588800,SNS_06/003,1734739140,6/5 12:00Z to 12/20 23:59Z,,
400AGL,SFC,"UAS Restricted Area
Forney AAF 5 is National Defense Airspace.
UAS Operations Prohibited.
POC: Jose Palasi, 573-596-7705   Emergency: Installation Operations Center, 573-563-4045",drotam_uasfr,424828585,,,,,,
400AGL,SFC,"UAS Restricted Area
Forney AAF 6 is National Defense Airspace.
UAS Operations Prohibited.
POC: Jose Palasi, 573-596-7705   Emergency: Installation Operations Center, 573-563-4045",drotam_uasfr,424828586,,,,,,
400AGL,SFC,"UAS Restricted Area
Forney AAF 7 is National Defense Airspace.
UAS Operations Prohibited.
POC: Jose Palasi, 573-596-7705   Emergency: Installation Operations Center, 573-563-4045",drotam_uasfr,424828587,,,,,,
400AGL,SFC,"UAS Restricted Area
Forney AAF 8 is National Defense Airspace.
UAS Operations Prohibited.
POC: Jose Palasi, 573-596-7705   Emergency: Installation Operations Center, 573-563-4045",drotam_uasfr,424828588,,,,,,
400AGL,SFC,"UAS Restricted Area
Military Ocean Terminal Sunny Point 3 is National Defense Airspace.
UAS Operations Prohibited.
POC: LTC Lewis / 404-305-6916  Emergency: 910-457-8556 / 8315",drotam_uasfr,424828589,,,,,,
400AGL,SFC,"UAS Restricted Area
FCI Bennettsville Medium is National Defense Airspace.
UAS Operations Prohibited.
POC: Control Center (843) 454-8200",drotam_uasfr,424829670,,,,,,
400AGL,SFC,"UAS Restricted Area
Military Ocean Terminal Sunny Point 4 is National Defense Airspace.
UAS Operations Prohibited.
POC: LTC Lewis / 404-305-6916  Emergency: 910-457-8556 / 8315",drotam_uasfr,424828590,,,,,,
400AGL,SFC,"UAS Restricted Area
Military Ocean Terminal Sunny Point 5 is National Defense Airspace.
UAS Operations Prohibited.
POC: LTC Lewis / 404-305-6916  Emergency: 910-457-8556 / 8315",drotam_uasfr,424828591,,,,,,
400AGL,SFC,"UAS Restricted Area
Military Ocean Terminal Sunny Point 6 is National Defense Airspace.
UAS Operations Prohibited.
POC: LTC Lewis / 404-305-6916  Emergency: 910-457-8556 / 8315",drotam_uasfr,424828592,,,,,,
400AGL,SFC,"UAS Restricted Area
Libby AAF is National Defense Airspace.
UAS Operations Prohibited.
POC: LTC Bridenback / 425-227-2955  Emergency: SDO 520-533-2291",drotam_uasfr,424828593,,,,,,
400AGL,SFC,"UAS Restricted Area
Bullseye Aux is National Defense Airspace.
UAS Operations Prohibited.
POC: Mr. Dan Rund (719-333-0595) daniel.rund@usafa.edu      Emergency:  D. Scott Wilson (210-652-5539) david.wilson.123@us.af.mil",drotam_uasfr,424828594,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: ENS Daren Whigham, ATC, 760-339-2603, Daren.D.Wigham@navy.mil (CDO 619-804-6163)-contact CDO after working hours",drotam_uasfr,424828595,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828596,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: MAC Alderete, ATO, 202-215-5468, henry.alderete@navy.mil",drotam_uasfr,424828597,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: MAC Alderete, ATO, 202-215-5468, henry.alderete@navy.mil",drotam_uasfr,424828598,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Morgan McCleve (419) 293-9351; morgan.c.mccleve@navy.mil/ CDO (540) 850-2380",drotam_uasfr,424828599,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828600,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828601,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Morgan McCleve (419) 293-9351; morgan.c.mccleve@navy.mil/ CDO (540) 850-2380",drotam_uasfr,424828602,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828603,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828604,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828605,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Morgan McCleve (419) 293-9351; morgan.c.mccleve@navy.mil/ CDO (540) 850-2380",drotam_uasfr,424828606,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Morgan McCleve (419) 293-9351; morgan.c.mccleve@navy.mil/ CDO (540) 850-2380",drotam_uasfr,424828607,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Morgan McCleve (419) 293-9351; morgan.c.mccleve@navy.mil/ CDO (540) 850-2380",drotam_uasfr,424828608,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828609,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: LCDR Jesse Alvarez, N3, 562-626-7392, Jesse.alvarez@navy.mil (CDO 562-972-9821)-contact CDO after working hours",drotam_uasfr,424828610,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: NCBC Gulfport Command Duty Officer, (228) 249-1405, ncbc.glfp.cdo@navy.mil",drotam_uasfr,424828611,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Command Duty Officer (843) 754-5904",drotam_uasfr,424828612,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Command Duty Officer (843) 754-5904",drotam_uasfr,424828613,,,,,,
400AGL,SFC,"UAS Restricted Area
 is National Defense Airspace.
UAS Operations Prohibited.
POC: Command Duty Officer (843) 754-5904",drotam_uasfr,424828614,,,,,,
